<13>1 2023-06-21T07:29:10.410527Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[0]: /usr/local/driveworks/bin/ScheduleManager
<13>1 2023-06-21T07:29:10.410681Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[1]: --launchspec=/target/aarch64/install/LogFolder/common_cgf_app/Helloworld/dumpLaunchSpec.json
<13>1 2023-06-21T07:29:10.410698Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[2]: --loglevel=DW_LOG_VERBOSE
<13>1 2023-06-21T07:29:10.410710Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[3]: --enableScheduleSwitching=true
<13>1 2023-06-21T07:29:10.410720Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[4]: --scheduleManagerHostIP=127.0.0.1
<13>1 2023-06-21T07:29:10.410730Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[5]: --scheduleManagerHostPort=40100
<13>1 2023-06-21T07:29:10.410740Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[6]: --scheduleManagerNumClients=1
<13>1 2023-06-21T07:29:10.410797Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[7]: --logspec=file/rfc5424.user.schedule_manager:/target/aarch64/install/LogFolder/common_cgf_app/Helloworld/schedule_manager.log
<13>1 2023-06-21T07:29:10.410812Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:175][ScheduleManager] ScheduleManager: arg[8]: --schedule-manager-name=CGF-ScheduleManager
<13>1 2023-06-21T07:29:10.411103Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:209][ScheduleManager] [ScheduleManager] ScheduleKey: standardSchedule id: 0
<13>1 2023-06-21T07:29:10.411123Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:209][ScheduleManager] [ScheduleManager] ScheduleKey: standardSchedule id: 0
<13>1 2023-06-21T07:29:10.411136Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:209][ScheduleManager] [ScheduleManager] ScheduleKey: standardSchedule id: 0
<13>1 2023-06-21T07:29:10.411148Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:209][ScheduleManager] [ScheduleManager] ScheduleKey: standardSchedule id: 0
<13>1 2023-06-21T07:29:10.411163Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:253][ScheduleManager] SM initHierarchy BEGIN, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.528279Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:259][ScheduleManager] SM initHierarchy END, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.528328Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.538485Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.548985Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.559224Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.569453Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.579800Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.590074Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.600942Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.611115Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.621408Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.631651Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.642019Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
<13>1 2023-06-21T07:29:10.652683Z - schedule_manager 749 - - [0us][DEBUG][tid:0][ScheduleManager.cpp:277][ScheduleManager] Clone Manager: Start state machine msg is not received, SWC NAME : schedule_manager
